0,0,0,0
2,0,3,1
2,1,2,1
4,2,4,2
3,2,3,2
5,10,6,5
6,7,6,5
10,8,5,6
8,16,9,7
3,4,6,5
5,3,8,3
3,1,5,0
1,5,2,2
2,0,7,0
3,3,4,0
3,1,4,0
0,1,0,1
0,5,0,0
2,0,1,0
0,0,0,0
