3.44,3.44,3.44,3.44
3.44,3.44,3.44,3.44
4.14,4.14,4.14,4.14
5.68,5.68,5.68,5.68
7.22,7.22,7.22,7.22
10.31,10.31,10.31,10.31
13.540000000000001,13.540000000000001,14.38,13.540000000000001
16.62,20.400000000000002,16.62,16.62
20.07,26.650000000000002,20.76,20.13
21.61,21.61,21.06,21.75
21.06,21.06,21.06,20.91
19.31,19.16,19.85,19.01
15.93,15.780000000000001,15.780000000000001,15.780000000000001
13.540000000000001,13.39,14.23,13.39
9.76,9.61,9.61,9.61
7.22,7.22,7.22,7.22
4.98,4.98,4.98,4.98
4.14,4.14,4.14,4.14
3.44,3.44,3.44,3.44
2.6,2.6,2.6,2.6
